Site Name,Date,Pecos,District,Area,Sherds,Points,site_type,reference
Owen Site,1000-1200,PII-PIII,Southern Utah,Western Periphery,982,1,LH,Lipe and Matson 2011
Et Al,1000-1100,PII-PIII,Southern Utah,Western Periphery,508,5,LH,Lipe and Matson 2011
42SA6815,-1041,PII,Southern Utah,Western Periphery,6,1,SH,Hobler and Hobler 1978
Coombs Site,1125-1175,PII,Southern Utah,Western Periphery,57433,218,VL,"Lister 1959; Lister, Ambler and Lister 1969"
Tcamahia Pueblo,1250-1300,PIII,Southern Utah,Western Periphery,4585,3,LH,Lidsay et al. 1968
Upper Desha Pueblo,1150-1200,PIII,Southern Utah,Western Periphery,3329,22,LH,Lidsay et al. 1968
Horsefly Hollow,1150-1300,PIII,Southern Utah,Western Periphery,2357,20,SH,Sharrock et al. 1961
Rogers House,1200-1300,PIII,Southern Utah,Western Periphery,2295,16,SH,Sharrock et al. 1961
NA7520B,1225-1300,PIII,Southern Utah,Western Periphery,1395,4,SH,Lidsay et al. 1968
Small Jar Pueblo,1000-1110,PII,Southern Utah,Western Periphery,1085,5,SH,Lidsay et al. 1968
The Watchtower,1100-1250,PII/PIII,Southern Utah,Western Periphery,1068,6,SH,Sharrock 1964
Guardian Pueblo,1250-1300,PIII,Southern Utah,Western Periphery,1056,6,SH,Lidsay et al. 1968
Steer Pasture,latePII/earlyPIII,PII/PIII,Southern Utah,Western Periphery,937,7,SH,Sharrock 1964
Buried Olla,1000-1300,PII/PIII,Southern Utah,Western Periphery,894,6,SH,Lipe et al. 1960
Musted's Well,1050-1150,PII,Southern Utah,Western Periphery,807,7,SH,Lipe et al. 1960
Loper Ruin,1150-1250,PIII,Southern Utah,Western Periphery,726,18,SH,Lipe 1960
Cactus Rock Pueblo,1225-1275,PIII,Southern Utah,Western Periphery,721,8,SH,Lidsay et al. 1968
Spencer ,1050-1100,PII,Southern Utah,Western Periphery,676,6,SH,Gunnerson 1957
Dave's Site,1050-1100,PII,Southern Utah,Western Periphery,671,6,SH,Lipe et al. 1960
Doll Ruin,1225-1275,PIII,Southern Utah,Western Periphery,657,13,SH,Lipe et al. 1960
Lyman Flat,1200-1300,PIII,Southern Utah,Western Periphery,581,4,SH,Sharrock et al. 1961
NA7549,1200-1250,PIII,Southern Utah,Western Periphery,403,0,SH,Lidsay et al. 1968
Talus Ruin ,1150-1250,PIII,Southern Utah,Western Periphery,393,7,SH,Lipe 1960
NA7548,1150-1200,PIII,Southern Utah,Western Periphery,382,2,SH,Lidsay et al. 1968
Coyote Ridge,,PIII,Southern Utah,Western Periphery,359,4,SH,Sharrock 1964
Widow's Ledge,,PIII,Southern Utah,Western Periphery,337,7,SH,Sharrock 1964
Defiance House,1250-1300,PIII,Southern Utah,Western Periphery,295,5,SH,Lipe et al. 1960
Copter Ledge,1200-1300,PIII,Southern Utah,Western Periphery,293,3,SH,Sharrock et al. 1963
Toad Shelter,1100-1300,PII/PIII,Southern Utah,Western Periphery,293,0,SH,Sharrock et al. 1961
Scorup Pasture,late PIII,PIII,Southern Utah,Western Periphery,285,3,SH,Sharrock 1964
The Fortress,1200-1300,PIII,Southern Utah,Western Periphery,278,6,SH,Sharrock et al. 1961
Hiboy House,1200-1300,PIII,Southern Utah,Western Periphery,271,4,SH,Sharrock et al. 1963
NA7520C,1200-1300,PIII,Southern Utah,Western Periphery,251,1,SH,Lidsay et al. 1968
Mistake Alcove,mid-late PIII,PIII,Southern Utah,Western Periphery,217,0,SH,Sharrock 1964
Stevens Terrace,1100-1300,PII/PIII,Southern Utah,Western Periphery,174,4,SH,Sharrock et al. 1961
Lizard Alcove,1130-1300,PIII,Southern Utah,Western Periphery,156,0,SH,Lipe 1960
Wildhorse Alcove,,PII,Southern Utah,Western Periphery,133,9,SH,Long 1966
Gourd House,1050-1300,PII/PIII,Southern Utah,Western Periphery,125,2,SH,Sharrock et al. 1961
Oak Bar Shelter,1100-1200,PIII,Southern Utah,Western Periphery,123,6,SH,Long 1966
Mosquito Cave,1125-1250,PIII,Southern Utah,Western Periphery,120,0,SH,Lipe et al. 1960
Bernheimer Alcove,1250-1300,PIII,Southern Utah,Western Periphery,99,5,SH,Sharrock et al. 1963
Face Canyon,1150-1225,PIII,Southern Utah,Western Periphery,97,7,SH,Long 1966
Fence Ruin,1250-1300,PIII,Southern Utah,Western Periphery,88,5,SH,Lipe et al. 1960
Oak Canyon Alcove,1100-1200,PIII,Southern Utah,Western Periphery,66,26,SH,Long 1966
Hermitage Site,1050-1150,PII,Southern Utah,Western Periphery,63,0,SH,Lipe 1960
Crumbling Kiva,1200-1250,PIII,Southern Utah,Western Periphery,58,1,SH,Lipe et al. 1960
Mat House,1225-1300,PIII,Southern Utah,Western Periphery,23,0,SH,Lipe et al. 1960
Shields Pueblo-5MT3807,1050-1300,PII-PIII,McElmo-Yellowjacket,SW Colorado,123415,198,VL,Online CCAC Website
Albert Porter Pueblo-5MT123,1050-1300,PII-PIII,McElmo-Yellowjacket,SW Colorado,98775,222,VL,Online CCAC Website
Sand Canyon Pueblo-5MT765,1200-1300,PIII,McElmo-Yellowjacket,SW Colorado,82242,110,VL,Lipe 1992
Yellow Jacket Pueblo-5MT5,1200-1300,PIII,McElmo-Yellowjacket,SW Colorado,41870,68,VL,Kuckelman 1997
Castle Rock-5MT1825,1260-1285,PIII,McElmo-Yellowjacket,SW Colorado,28002,73,LH,CCAC
Woods Canyon Pueblo-5MT11842,1200-1300,PIII,McElmo-Yellowjacket,SW Colorado,13478,24,VL,Online CCAC Website
Kenzie Dawn Hamlet-5MT5152,1050-1225,LPII-EPIII,McElmo-Yellowjacket,SW Colorado,8684,15,LH,Varien 1999
Roundtree Pueblo PII,1025-1100,PII,McElmo-Yellowjacket,SW Colorado,4927,7,LH,Morris 1991
Catherine's Site-5MT3967,1225-1300,LPIII,McElmo-Yellowjacket,SW Colorado,4194,7,LH,Varien 1999
Shorlene's Site-5MT3918,1150-1225,EPIII,McElmo-Yellowjacket,SW Colorado,3460,4,LH,Varien 1999
Roy's Ruin-5MT3930,900-1225,PII-EPIII,McElmo-Yellowjacket,SW Colorado,3391,5,LH,Varien 1999
Stanton's Site-5MT10508,1230-1270,LPIII,McElmo-Yellowjacket,SW Colorado,3205,25,SH,Varien 1999
G & G Hamlet-5MT11338,1050-1225,LPII-EPIII,McElmo-Yellowjacket,SW Colorado,3172,5,SH,Varien 1999
Lookout House-5MT10459,1225-1300,LPIII,McElmo-Yellowjacket,SW Colorado,2974,6,LH,Varien 1999
Lillian's Site-5MT3936,1050-1225,LPII-EPIII,McElmo-Yellowjacket,SW Colorado,2731,6,LH,Varien 1999
Gnatsville-5MT1786,1030-1050,PII,McElmo-Yellowjacket,SW Colorado,2621,4,LH,Kent 1991
Lester's Site-5MT10246,1225-1300,LPIII,McElmo-Yellowjacket,SW Colorado,2384,7,LH,Varien 1999
Lowry Ruin,1100-1150,PII,McElmo-Yellowjacket,SW Colorado,2296,11,LH,Martin 1936
Roundtree Pueblo PIII,1150-1275,PIII,McElmo-Yellowjacket,SW Colorado,2080,10,SH,Morris 1991
Saddlehorn Hamlet-5MT262,1230-1300,LPIII,McElmo-Yellowjacket,SW Colorado,1340,5,LH,Varien 1999
Knobby Knee Stockade,1193-1220,PIII,McElmo-Yellowjacket,SW Colorado,1282,10,SH,Morris 1991
Troy's Tower-5MT3951,1225-1300,LPIII,McElmo-Yellowjacket,SW Colorado,1266,4,SH,Varien 1999
Dripping Spring Stockade,1043-1075,PII,McElmo-Yellowjacket,SW Colorado,887,2,SH,Morris 1991
Mad Dog,5MT181,LPIII,McElmo-Yellowjacket,SW Colorado,574,9,SH,Varien 1999
Herren House,5MT2519,BMIII-PIII,McElmo-Yellowjacket,SW Colorado,,,SH,Morris 1991
Badger House,900-1150,PII,Mesa Verde,SW Colorado,65298,57,LH,Hayes and Lancaster 1975
Mug House,1225-1275,PIII,Mesa Verde,SW Colorado,31150,19,VL,Rohn 1971
MV866,,PII,Mesa Verde,SW Colorado,13884,2,LH,Lister 1966
Big Juniper House,1050-1150,PII,Mesa Verde,SW Colorado,13615,4,VL,Swannack 1969
MV499,1100-1150,PII,Mesa Verde,SW Colorado,12903,8,LH,Lister 1964
MV1104,1100-1200,PIII,Mesa Verde,SW Colorado,4077,0,SH,Lister and Breternitz 1968
MV875,,PII-III,Mesa Verde,SW Colorado,3945,3,LH,Lister 1965
MV1088 (Morfield Canyon),,PII/PIII,Mesa Verde,SW Colorado,1890,0,LH,Lister and Smith 1968
MV1094,950-1100,PII,Mesa Verde,SW Colorado,1168,0,SH,Jennings 1968
Navajo Hill,1050-1150,PII,Mesa Verde,SW Colorado,184,0,SH,Hewett 1968
MV1093,900-1050,PII,Mesa Verde,SW Colorado,99,1,SH,Jennings 1968
Burnt Mesa Area 1-LA 60372,1355-1380,CP,Pajarito Plateau,Pajarito Plateau,68429,62,LH,Bandelier report Kohler 1990
Burnt Mesa Area 2-LA 60372,1230-1275,CP,Pajarito Plateau,Pajarito Plateau,8703,11,LH,Bandelier report Kohler 1990
LA 12587-White Rock Tract (A-19),1275-1325,CP,Pajarito Plateau,Pajarito Plateau,8500,5,LH,vierra LTCP
LA 4618,1250-1325,LCP,Pajarito Plateau,Pajarito Plateau,8310,9,LH,LANL
LA 135290-Airport-Central Tract (A-7),1160-1260,CP,Pajarito Plateau,Pajarito Plateau,3365,4,SH,vierra LTCP
LA 86534-Airport-South Tract (A-3),1170-1300,CP,Pajarito Plateau,Pajarito Plateau,3296,5,SH,vierra LTCP
LA 4624,1200-1300,CP,Pajarito Plateau,Pajarito Plateau,2389,5,SH,LANL
Casa del Rito-LA 3852,1200-1325,CP,Pajarito Plateau,Pajarito Plateau,1789,16,SH,Bandelier report Kohler 1990
Saltbush-LA 4997,1175-1250,LD-ECP,Pajarito Plateau,Pajarito Plateau,3280,5,,Snow 1974
Pindi Pueblo-LA 1,,,RGB,Rio Grande Basin,NA,40,LH,
Tsogue,LA 746,,Tewa Basin,Tewa Basin,NA,NA,SH,"oas notes, allen 1972"
Cuyamungue High Terrace,LA 3415,,Tewa Basin,Tewa Basin,NA,NA,,
Tesuque Valley,LA 742,,Tewa Basin,Tewa Basin,NA,NA,,"smiley 1953, hester and sciscenti 1962; dickson 1979; robinson and cameron 1991"
,LA 106257,,Tewa Basin,Tewa Basin,NA,NA,,williamson 1994
santo nino,LA 64677,,Tewa Basin,Tewa Basin,NA,NA,,schmader 1988; robinson and cameron 1991
,LA 72101,,Tewa Basin,Tewa Basin,NA,NA,,gossett and gossett 1991
Pojoaque Grant,800-1175,PII,Tewa Basin,Tewa Basin,8797,135,LH,"Ortman, AN 265, wiseman 1995"
LA 103919,900-1200,PII,Tewa Basin,Tewa Basin,8161,58,LH,AN199
Pena Blanca-LA 265,725-850,ED,Tewa Basin,Rio Grande Basin,5002,45,LH,oas reports an 385
LA 6170,725-900,ED-LD,Tewa Basin,Rio Grande Basin,2439,15,SH,oas reports an 385
Tesuque Bypass-LA 3294,900-1100,PII/PIII,Tewa Basin,Tewa Basin,2431,20,SH,mcnutt
KP Site-LA 46300,1050-1125,LD,Tewa Basin,Tewa Basin,2260,29,SH,AN 494
5MT9924,1050-1125,PII/PIII,Ute Mountain,SW Colorado,6087,4,LH,Billman and Robinson 2003
5MT10010,1075-1175,PII/PIII,Ute Mountain,SW Colorado,5732,6,LH,Billman and Robinson 2003
5MT9541,1175-1280,PIII,Ute Mountain,SW Colorado,4847,6,LH,Billman and Robinson 2003
5MT10207 (Towaoc Canal),1125-1175,PIII,Ute Mountain,SW Colorado,2526,0,SH,Errickson 1993
5MT10206 (Towaoc Canal),1130-1150,PIII,Ute Mountain,SW Colorado,2423,0,SH,Errickson 1993
5MT9933,1175-1280,PIII,Ute Mountain,SW Colorado,1827,6,LH,Billman and Robinson 2003
5MT2564,1175-1280,PIII,Ute Mountain,SW Colorado,1410,3,LH,Billman and Robinson 2003
5MT7723 (Towaoc Canal),1050-1125,PII/PIII,Ute Mountain,SW Colorado,903,2,SH,Errickson 1993
5MT8943 (Towaoc Canal),1050-1125,PII/PIII,Ute Mountain,SW Colorado,773,2,SH,Errickson 1993
5MT10188 (Towaoc Canal),1050-1125,PII/PIII,Ute Mountain,SW Colorado,249,0,FH,Errickson 1993
5MT8943 (Towaoc Canal),1225-1300,PIII,Ute Mountain,SW Colorado,225,1,FH,Errickson 1993
5MT7723 (Towaoc Canal),1200-1300,PIII,Ute Mountain,SW Colorado,114,0,FH,Errickson 1993
5MT7704 (Towaoc Canal),-1130,PIII,Ute Mountain,SW Colorado,61,0,SH,Errickson 1993
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,#DIV/0!,
