Site name ,Date ,Pecos ,District ,Site-Type ,Size ,Lagomorphs ,Artiodactyls ,Turkey
42SA6815,1041- ,PIII ,CL ,LH ,LG ,,0,
Bernheimer Alcove,1250-1300 ,PII ,CM ,SH ,SM ,2,8,
Bluff House,,PIII ,CM ,SH ,SM ,521,422,
Buried Olla,1000-1200 ,PII,CM ,LH ,LG ,0,7,
Coombs Site,1125-1175 ,PII-PIII ,ES ,SH ,SM ,61,1251,
Copter Ledge,1200-1300 ,PIII ,CM ,SH ,SM ,1,19,
Coyote Ridge, ,PIII ,CM ,SH ,SM ,1,1,
Crumbling Kiva,1200-1250 ,PIII ,CM ,SH ,SM ,0,22,
Dave's Site,1050-1100 ,PII ,CM ,SH ,SM ,7,0,
Defiance House,1250-1300 ,PIII ,CM ,SH ,SM ,3,53,
Doll Ruin,1225-1275 ,PIII ,CM ,SH ,SM ,1,20,
Face Canyon,1150-1225 ,PIII ,CM ,SH ,SM ,6,8,
Fence Ruin,1250-1300 ,PIII ,CM ,SH ,SM ,6,21,
Gourd House,1050-1300 ,PII-PIII ,CM ,SH ,SM ,2,13,
Hermitage Site,1050-1150 ,PII ,CM ,SH ,SM ,0,3,
Hiboy House,1200-1300 ,PIII ,CM ,SH ,SM ,1,13,
Horsefly Hollow,1150-1300 ,PIII ,CM ,SH ,SM ,33,161,
Lizard Alcove,1130-1300 ,PIII ,CM ,SH ,SM ,0,23,
Loper Ruin,1150-1250 ,PIII ,CM ,SH ,SM ,17,61,
Lyman Flat,1200-1300 ,PIII ,CM ,SH ,SM ,0,15,
Mat House,1225-1300 ,PIII ,CM ,SH ,SM ,0,2,
Mistake Alcove, ,PIII ,CM ,SH ,SM ,2,13,
Mosquito Cave,1125-1250 ,PII ,CM ,SH ,SM ,0,9,
Musted's Well,1050-1150 ,PIII ,CM ,SH ,SM ,0,38,
Rogers House,1200-1300 ,PIII ,CM ,SH ,SM ,0,5,
Scorup Pasture, ,PII-PIII ,CM ,SH ,SM ,0,3,
Steer Pasture, ,PII-PIII ,CM ,SH ,SM ,0,2,
Stevens Terrace,1100-1300 ,PIII ,CM ,SH ,SM ,0,5,
